grade,name,id,area,termId,order,entryType,maxMarks,gradingScaleId,conversionType,conversionFactor
XI Commerce,Accounts,XI Commerce_Accounts,Scholastic,,,,,,,
XII Commerce,Accounts,XII Commerce_Accounts,Scholastic,,,,,,,
XI Commerce,Applied Maths,XI Commerce_Applied_Maths,,,,,,,,
XI Humanities,Applied Maths,XI Humanities_Applied_Maths,,,,,,,,
XI Commerce,Artificial Intelligence,XI Commerce_Artificial_Intelligence,,,,,,,,
XI Humanities,Artificial Intelligence,XI Humanities_Artificial_Intelligence,,,,,,,,
XI Science,Artificial Intelligence,XI Science_Artificial_Intelligence,,,,,,,,
IX,Biology,IX_Biology,Scholastic,,,,,,,
XI Science,Biology,XI Science_Biology,Scholastic,,,,,,,
XII Science,Biology,XII Science_Biology,Scholastic,,,,,,,
X,Biology,X_Biology,Scholastic,,,,,,,
XI Science,Biology Additional,XI Science_Biology_Additional,,,,,,,,
XII Science,Biology Additional,XII Science_Biology_Additional,,,,,,,,
XI Commerce,Business Studies,XI Commerce_Business_Studies,Scholastic,,,,,,,
XII Commerce,Business Studies,XII Commerce_Business_Studies,Scholastic,,,,,,,
IX,Chemistry,IX_Chemistry,Scholastic,,,,,,,
XI Science,Chemistry,XI Science_Chemistry,Scholastic,,,,,,,
XII Science,Chemistry,XII Science_Chemistry,Scholastic,,,,,,,
X,Chemistry,X_Chemistry,Scholastic,,,,,,,
III,Computer,III_Computer,Scholastic,,,,,,,
II,Computer,II_Computer,Scholastic,,,,,,,
IV,Computer,IV_Computer,Scholastic,,,,,,,
I,Computer,I_Computer,Scholastic,,,,,,,
VIII,Computer,VIII_Computer,Scholastic,,,,,,,
VII,Computer,VII_Computer,Scholastic,,,,,,,
VI,Computer,VI_Computer,Scholastic,,,,,,,
V,Computer,V_Computer,Scholastic,,,,,,,
XI Commerce,Computer Science,XI Commerce_Computer_Science,Scholastic,,,,,,,
XI Humanities,Computer Science,XI Humanities_Computer_Science,Scholastic,,,,,,,
XI Science,Computer Science,XI Science_Computer_Science,Scholastic,,,,,,,
