grade,name,id,area,termId,order,entryType,maxMarks,gradingScaleId,conversionType,conversionFactor
I,English,I_English,Scholastic,,,marks,,,,
I,Maths,I_Maths,Scholastic,,,marks,,,,
I,Marathi,I_Marathi,Scholastic,,,marks,,,,
I,HINDI,I_HINDI,Scholastic,,,marks,,,,
I,EVS,I_EVS,Scholastic,,,marks,,,,
I,Computer,I_Computer,Scholastic,,,marks,,,,
IX,English,IX_English,Scholastic,,,marks,,,,
IX,Sanskrit,IX_Sanskrit,Scholastic,,,marks,,,,
IX,Maths,IX_Maths,Scholastic,,,marks,,,,
IX,Social studies,IX_Social_studies,Scholastic,,,marks,,,,
IX,IT,IX_IT,Scholastic,,,marks,,,,
IX,Science,IX_Science,Scholastic,,,marks,,,,
IX,Marathi,IX_Marathi,Scholastic,,,grade,,,,
X,English,X_English,Scholastic,,,marks,,,,
X,HINDI,X_HINDI,Scholastic,,,marks,,,,
X,Maths,X_Maths,Scholastic,,,marks,,,,
X,Social studies,X_Social_studies,Scholastic,,,marks,,,,
X,IT,X_IT,Scholastic,,,marks,,,,
X,Science,X_Science,Scholastic,,,marks,,,,
X,Marathi,X_Marathi,Scholastic,,,grade,,,,
